tweet,1
en el anuario de este año se han lucido...    1, 1
que bien empezamos el dia    1, 1
mi internet funciona de lujo oye...    1, 1
llegar a esta casa es toda una alegria..    1, 1
mi vida en el amor que bella es    1, 1
ya echaba de menos este olor caracteristico de huelva    1, 1
no se qué está pasando   0, 0
y todavía no me duermo porque se charla con g☆ tipo tipo nada  yajunioytodavia   0, 0
hahahaha este brother es muy bueno un saludo !  y la vdd es que tiene razon! javs Ávila http://link   0, 0
decile venite a dormir conmigo este fresco esta lindo para cucharear. sabe que queres cojer pero queda mejor.   0, 0
donde manda tu princesa nunca manda la amiguita ;)   0, 0
ahorrare para el cumpleaños del pily  porque aja quiero borrachera otra vez con la mamá y la tía.   0, 0
siento que vuelo esta hierba me daño mi parte mental!.   0, 0
paaaa lo que me duele cuando me dice eso...   0, 0
hay personas a la que uno no le puede dar nada de confianza porque se terminan pasando.   0, 0
